"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 10:15:00";"2";"0";"1637";"35,63";"8388608";"1727214";"20,59";"0";"482";"64";"9";"7"
"05.11.2015 10:20:00";"2";"0";"100";"2,19";"8388608";"2107218";"25,12";"0";"76";"64";"5";"5"
"05.11.2015 10:25:00";"2";"0";"110";"2,41";"8388608";"1598030";"19,05";"0";"10";"64";"5";"5"
"05.11.2015 10:30:00";"2";"0";"74";"1,62";"8388608";"1463812";"17,45";"0";"8";"64";"5";"5"
"05.11.2015 10:35:00";"2";"0";"75";"1,64";"8388608";"960496";"11,45";"0";"8";"64";"5";"5"
"05.11.2015 10:40:00";"2";"0";"74";"1,63";"8388608";"1150917";"13,72";"0";"7";"64";"5";"5"
"05.11.2015 10:45:00";"2";"0";"71";"1,55";"8388608";"1128268";"13,45";"0";"8";"64";"5";"5"
"05.11.2015 10:50:00";"2";"0";"74";"1,61";"8388608";"1039349";"12,39";"0";"8";"64";"5";"5"
"05.11.2015 10:55:00";"2";"0";"76";"1,67";"8388608";"1150917";"13,72";"0";"8";"64";"5";"5"
"05.11.2015 11:00:00";"2";"0";"75";"1,63";"8388608";"1022571";"12,19";"0";"8";"64";"6";"6"
"05.11.2015 11:05:00";"2";"0";"78";"1,7";"8388608";"989017";"11,79";"0";"9";"64";"5";"7"
"05.11.2015 11:10:00";"2";"0";"73";"1,6";"8388608";"943718";"11,25";"0";"8";"64";"5";"5"
"05.11.2015 11:15:00";"2";"0";"77";"1,7";"8388608";"943718";"11,25";"0";"8";"64";"5";"5"
"05.11.2015 11:20:00";"2";"0";"74";"1,63";"8388608";"1201249";"14,32";"0";"8";"64";"5";"5"
"05.11.2015 11:25:00";"2";"0";"83";"1,83";"8388608";"1307784";"15,59";"0";"8";"64";"5";"5"
"05.11.2015 11:30:00";"2";"0";"70";"1,54";"8388608";"1190343";"14,19";"0";"8";"64";"5";"5"
"05.11.2015 11:35:00";"2";"0";"73";"1,61";"8388608";"1089680";"12,99";"0";"8";"64";"5";"5"
"05.11.2015 11:40:00";"2";"0";"74";"1,61";"8388608";"848927";"10,12";"0";"9";"64";"5";"5"
"05.11.2015 11:45:00";"2";"0";"71";"1,56";"8388608";"994050";"11,85";"0";"8";"64";"6";"6"
"05.11.2015 11:50:00";"2";"0";"73";"1,6";"8388608";"932813";"11,12";"0";"8";"64";"5";"5"
"05.11.2015 11:55:00";"2";"0";"73";"1,59";"8388608";"848927";"10,12";"0";"8";"64";"5";"5"
"05.11.2015 12:00:00";"2";"0";"70";"1,53";"8388608";"943718";"11,25";"0";"8";"64";"5";"5"
"05.11.2015 12:05:00";"2";"0";"74";"1,62";"8388608";"1117363";"13,32";"0";"9";"64";"5";"5"
